Time,Front POA1 (W/m2),Front POA2 (W/m2),Rear 1 (W/m2),Rear 2 (W/m2),Rear 3 (W/m2),G,W,B,S,Temperature C,Specific Humidity g/kg,Precipitation mm/hour,Relative Humidity %,tcc,tclw,sin_h,cos_h,sin_doy,cos_doy
2025-05-08 20:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.81,11.7,29.58,86.86,50.073944,0.1895705,-0.8660254037844386,0.5000000000000001,0.8064799463209448,-0.5912614448635781
2025-05-08 20:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.81,11.7,29.58,86.86,48.33159,0.17155352,-0.8660254037844386,0.5000000000000001,0.8064799463209448,-0.5912614448635781
2025-05-08 20:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.81,11.7,29.58,86.86,46.589233,0.15353654,-0.8660254037844386,0.5000000000000001,0.8064799463209448,-0.5912614448635781
2025-05-08 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.3,11.5,27.27,88.19,44.84688,0.13551956,-0.7071067811865477,0.7071067811865474,0.8064799463209448,-0.5912614448635781
2025-05-08 21:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.3,11.5,27.27,88.19,50.56484,0.12349138,-0.7071067811865477,0.7071067811865474,0.8064799463209448,-0.5912614448635781
2025-05-08 21:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.3,11.5,27.27,88.19,56.2828,0.11146319,-0.7071067811865477,0.7071067811865474,0.8064799463209448,-0.5912614448635781
2025-05-08 21:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.3,11.5,27.27,88.19,62.000755,0.099435,-0.7071067811865477,0.7071067811865474,0.8064799463209448,-0.5912614448635781
2025-05-08 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.75,11.38,18.85,90.33,67.71871,0.087406814,-0.5000000000000004,0.8660254037844384,0.8064799463209448,-0.5912614448635781
2025-05-08 22:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.75,11.38,18.85,90.33,72.58655,0.07754177,-0.5000000000000004,0.8660254037844384,0.8064799463209448,-0.5912614448635781
2025-05-08 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.75,11.38,18.85,90.33,77.45439,0.06767672,-0.5000000000000004,0.8660254037844384,0.8064799463209448,-0.5912614448635781
2025-05-08 22:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.75,11.38,18.85,90.33,82.32223,0.05781167,-0.5000000000000004,0.8660254037844384,0.8064799463209448,-0.5912614448635781
2025-05-08 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.02,11.46,13.99,95.2,87.19006,0.047946624,-0.2588190451025215,0.965925826289068,0.8064799463209448,-0.5912614448635781
2025-05-08 23:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.02,11.46,13.99,95.2,87.0918,0.048213206,-0.2588190451025215,0.965925826289068,0.8064799463209448,-0.5912614448635781
2025-05-08 23:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.02,11.46,13.99,95.2,86.99353,0.048479788,-0.2588190451025215,0.965925826289068,0.8064799463209448,-0.5912614448635781
2025-05-08 23:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.02,11.46,13.99,95.2,86.89527,0.048746366,-0.2588190451025215,0.965925826289068,0.8064799463209448,-0.5912614448635781
2025-05-09 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.71,11.33,17.55,95.92,86.797005,0.049012948,0.0,1.0,0.7961828637826158,-0.6050560696488488
